课程名称	课程时间	课程目标	课程价格	课程配额	课程链接	教师名称	教师链接
【目标985班】高二英语寒假系统班（寒3期21:30）	2月10日-2月17日 · 21:30-23:30	适合高二 | 全国地区通用	249	684人报名  限报1000人	https://www.yuanfudao.com/lessons/3080774.html	姜皓晨	https://www.yuanfudao.com/teachers/127007476/lesson?lessonId=3080774
【数学能力发展班】四年级数学春季系统班（周六09:30）	3月2日-6月15日 · 09:30-11:30	适合四年级 | 全国地区通用	999	每30人分小班	https://www.yuanfudao.com/lessons/3097852.html	钱学伟	https://www.yuanfudao.com/teachers/95009206/lesson?lessonId=3097852
【目标985班】高一化学春季系统班（课改版·周日09:00）	3月3日-6月23日 · 早09:00-11:25	适合高一 | 全国地区通用	799	206人报名  每60人分小班	https://www.yuanfudao.com/lessons/3079522.html	张明燃	https://www.yuanfudao.com/teachers/37015377/lesson?lessonId=3079522
五、六年级猿编程L2系统班 第9期（周六晚）	5月11日-11月16日	适合五年级 六年级 | 全国地区通用	4099	19人报名	https://www.yuanfudao.com/lessons/3083802.html	待分配	https://www.yuanfudao.com/teachers/90173878/lesson?lessonId=3083802
【英语校内卓越班】六年级英语寒假系统4班	1月26日-2月2日	适合六年级 | 全国地区通用	700	34人报名	https://www.yuanfudao.com/lessons/3085566.html	张月 胡可	https://www.yuanfudao.com/teachers/135603174/lesson?lessonId=3085566
高二数学寒假系统班（寒2期19:00）	1月27日-2月3日 · 19:00－21:00	适合高二 | 全国地区通用	249	2000人报名	https://www.yuanfudao.com/lessons/3079890.html	张煜晨	https://www.yuanfudao.com/teachers/94097552/lesson?lessonId=3079890
高二语文春季系统班（周日13:00）	3月3日-6月16日 · 13:00-15:00	适合高二 | 全国地区通用	499	17人报名  限报2000人	https://www.yuanfudao.com/lessons/3081340.html	赵占坤	https://www.yuanfudao.com/teachers/141608770/lesson?lessonId=3081340
【英语校内卓越班】六年级英语寒假系统5班	1月26日-2月2日	适合六年级 | 全国地区通用	700	33人报名	https://www.yuanfudao.com/lessons/3085568.html	胡可 张月	https://www.yuanfudao.com/teachers/156246150/lesson?lessonId=3085568
【目标985班】高三理科数学春季系统班（周六14:00）	3月2日-6月1日 · 14:00-16:00	适合高三 | 全国地区通用	499	246人报名  限报2000人	https://www.yuanfudao.com/lessons/3080940.html	季然	https://www.yuanfudao.com/teachers/68215716/lesson?lessonId=3080940
【目标985班】高三英语春季系统班（周六14:00）	3月2日-6月1日 · 14:00-16:00	适合高三 | 全国地区通用	499	89人报名  限报2000人	https://www.yuanfudao.com/lessons/3080280.html	寇静涵	https://www.yuanfudao.com/teachers/74639112/lesson?lessonId=3080280
高二地理寒假系统班（寒3期21:30）	2月10日-2月17日 · 21:30-23:30	适合高二 | 全国地区通用	249	1032人报名  限报1440人	https://www.yuanfudao.com/lessons/3079550.html	温卿	https://www.yuanfudao.com/teachers/58419052/lesson?lessonId=3079550
【数学能力强化班】二年级数学春季系统班（周日18:30）	3月3日-6月16日 · 18:30-20:30	适合二年级 | 全国地区通用	999	每30人分小班	https://www.yuanfudao.com/lessons/3083052.html	张利利	https://www.yuanfudao.com/teachers/109818228/lesson?lessonId=3083052
高一语文春季系统班（周日09:00）	3月3日-6月23日 · 早09:00-11:25	适合高一 | 全国地区通用	799	298人报名  每60人分小班	https://www.yuanfudao.com/lessons/3081424.html	何燕	https://www.yuanfudao.com/teachers/100387696/lesson?lessonId=3081424
高一政治春季系统班（课改版·周六21:10）	3月2日-6月22日 · 21:10-23:35	适合高一 | 全国地区通用	799	98人报名  每60人分小班	https://www.yuanfudao.com/lessons/3079850.html	梁如冰	https://www.yuanfudao.com/teachers/132614682/lesson?lessonId=3079850
