课程名称	课程时间	课程目标	课程价格	课程配额	课程链接	教师名称	教师链接
【英语能力发展班】二年级英语春季系统10班	3月6日-6月16日	适合二年级 | 全国地区通用	1650	29人报名  限报30人	https://www.yuanfudao.com/lessons/3088762.html	张诺凡 闫丹	https://www.yuanfudao.com/teachers/129089256/lesson?lessonId=3088762
【目标卓越班】初一数学寒假系统班（寒1期09:00）	1月19日-1月26日 · 早09:00-11:20	适合七年级 | 全国地区通用	99	1337人报名	https://www.yuanfudao.com/lessons/3080374.html	洪洋	https://www.yuanfudao.com/teachers/36903981/lesson?lessonId=3080374
初一数学寒假系统班（北师版·寒2期15:35）	1月30日-2月13日 · 15:35-17:55	适合七年级 | 全国地区通用	99	1200人报名	https://www.yuanfudao.com/lessons/3085234.html	朱玲玲	https://www.yuanfudao.com/teachers/60153716/lesson?lessonId=3085234
初三语文寒假系统班（寒2期18:10）	1月30日-2月12日 · 18:10-20:30	适合九年级 | 全国地区通用	499	1020人报名	https://www.yuanfudao.com/lessons/3079922.html	姜畔	https://www.yuanfudao.com/teachers/86691294/lesson?lessonId=3079922
【目标985班】高三英语寒假系统班（寒3期19:00）	2月7日-2月14日 · 19:00-21:00	适合高三 | 全国地区通用	249	205人报名  限报2000人	https://www.yuanfudao.com/lessons/3080168.html	迟芳凝	https://www.yuanfudao.com/teachers/74265582/lesson?lessonId=3080168
高一语文寒假系统班（寒2期21:30）	1月30日-2月14日 · 21:30-23:55	适合高一 | 全国地区通用	399	842人报名  每60人分小班	https://www.yuanfudao.com/lessons/3081234.html	何燕	https://www.yuanfudao.com/teachers/100387696/lesson?lessonId=3081234
五、六年级猿编程L1系统班 第9期（周四晚）	12月20日-4月18日	适合五年级 六年级 | 全国地区通用	1999	25人报名	https://www.yuanfudao.com/lessons/3083780.html	张成巍	https://www.yuanfudao.com/teachers/145862676/lesson?lessonId=3083780
初三化学寒假系统班（科粤版·寒3期15:35）	2月16日-2月23日 · 15:35-17:55	适合九年级 | 全国地区通用	499	103人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079240.html	张成	https://www.yuanfudao.com/teachers/46929809/lesson?lessonId=3079240
【目标一本班】高一化学春季系统班（课改版·周六21:10）	3月2日-6月22日 · 21:10-23:35	适合高一 | 全国地区通用	799	259人报名  每60人分小班	https://www.yuanfudao.com/lessons/3079526.html	卢吒	https://www.yuanfudao.com/teachers/56316110/lesson?lessonId=3079526
【目标985班】高二化学寒假系统班（选修5+3·寒1期13:00）	1月18日-1月25日 · 13:00-15:00	适合高二 | 全国地区通用	249	1204人报名	https://www.yuanfudao.com/lessons/3079634.html	张鹤至	https://www.yuanfudao.com/teachers/29190893/lesson?lessonId=3079634
